TYC1,TYC2,TYC3,RA_deg,Dec_deg,VTmag
9275,3641,1,252.16622674,-69.02771555,2.052
5460,1592,1,141.89685049,-8.65860165,2.14
7293,2215,1,211.67061735,-36.36995824,2.158
2286,1329,1,17.43301226,35.62055764,2.244
3156,2223,1,305.55709378,40.25667904,2.273
8446,1644,1,340.66687292,-46.88458025,2.287
7689,2617,1,136.99899195,-43.43258995,2.379
7367,804,1,252.54088465,-34.29322839,2.393
3833,1034,1,178.45768181,53.6947574,2.399
7527,1031,1,6.57094162,-42.30607839,2.496
8241,3235,1,182.08963142,-50.72242738,2.515
2695,4139,1,311.55284573,33.97025353,2.57
2019,1251,1,221.24676327,27.0742078,2.578
7832,2490,1,224.63302487,-43.13396021,2.603
9228,3049,1,189.2959858,-69.13561311,2.622
7387,1249,1,262.69097937,-37.29581257,2.624
2243,1831,1,345.94356931,28.08278481,2.654
58,1618,1,45.56988422,4.08973824,2.716
8645,2263,1,183.78631757,-58.74892829,2.721
7275,2074,1,200.14923763,-36.71229344,2.732
6155,1210,1,222.71963908,-16.04177696,2.742
6807,1012,1,248.97063838,-28.21601356,2.759
8350,2600,1,262.96037889,-49.87614279,2.793
8206,3033,1,161.69248947,-49.42023604,2.815
8240,2724,1,190.3792717,-48.95975694,2.817
2391,1446,1,74.24840612,33.16608905,2.83
6856,2170,1,275.24850706,-29.8281024,2.83
9259,4905,1,229.72743233,-68.67954332,2.849
9350,1626,1,6.43782906,-77.25425174,2.855
2361,2820,1,58.53300785,31.88363844,2.858
1061,2577,1,296.56491643,10.61326319,2.861
7115,3019,1,109.28565491,-37.09747668,2.866
423,1724,1,265.86813614,4.56730027,2.879
8240,2724,2,190.3792717,-48.95975694,2.881
6798,540,1,245.29713575,-25.59280657,2.911
886,1326,1,195.54415972,10.95914863,2.917
6861,3180,1,276.99266925,-25.42170006,2.924
7840,1432,1,233.78503305,-41.16678306,2.954
1052,3027,1,286.35253215,13.86347684,2.958
8732,2866,1,261.32495658,-55.52988502,2.968
7494,1748,1,328.48220445,-37.3648735,2.971
9117,1947,1,334.62539861,-60.25959646,2.998
6523,3722,1,105.75613209,-23.83329149,2.999
2736,1823,1,340.75057944,30.22124754,3.016
2317,1647,1,32.38594355,34.98729435,3.017
8950,2272,1,146.77551194,-65.07200514,3.025
5224,1806,1,331.44598271,-0.31984929,3.033
1960,1550,1,146.46280605,23.77425356,3.042
7889,2669,1,266.89617172,-40.12699529,3.05
8125,2314,1,102.48403588,-50.61455277,3.05
7391,2710,1,271.45202735,-30.42409858,3.066
7828,3520,1,224.79034661,-42.1042044,3.078
8976,5383,1,173.94534186,-63.019845,3.092
3012,2519,1,167.41586628,44.49848342,3.11
2065,1930,1,258.75796339,24.83920293,3.115
6867,2428,1,281.41411125,-26.99077697,3.126
5311,1285,1,59.50736224,-13.50851619,3.129
1897,1639,1,100.98302446,25.13112434,3.138
7626,2203,1,99.4402973,-43.19593498,3.138
5753,2281,1,305.25280077,-14.78140739,3.151
7839,2803,1,230.34302291,-40.6475107,3.157
4444,2239,1,288.1387485,67.66154123,3.165
2133,2964,1,292.68035868,27.95967854,3.186
9015,1445,1,220.62675238,-64.97513751,3.189
8411,1822,1,309.39180731,-47.29150209,3.203
225,1116,1,133.8484958,5.94550965,3.21
3004,1418,1,155.58225403,41.4995165,3.216
2643,3346,1,284.73592752,32.68955708,3.217
96,1462,1,72.46004311,6.96127723,3.222
7069,1482,1,87.73997009,-35.76830949,3.231
8899,2202,1,102.04772601,-61.94132165,3.262
9214,2842,1,153.43423521,-70.03789684,3.271
8730,1439,1,254.65505492,-55.99014141,3.276
2496,1728,1,140.26376269,34.39256508,3.291
2604,1774,1,258.76180626,36.80916352,3.292
7404,7057,1,274.40680477,-36.76168819,3.298
2702,2764,1,318.23408465,30.22694106,3.3
1437,2847,1,168.56002313,15.4295709,3.304
979,2198,1,254.41707145,9.37503097,3.31
7389,2159,1,267.46451837,-37.04330034,3.315
4606,3584,1,354.836665,77.6323124,3.322
8592,2561,1,142.80549361,-57.03437817,3.326
5913,1374,1,76.36527121,-22.37103582,3.334
5102,416,1,275.32750215,-2.89882468,3.337
7847,2505,1,230.67030565,-44.68962812,3.337
7797,2744,1,207.37615861,-41.68770854,3.352
7882,569,1,258.03830303,-43.2391912,3.359
7851,1814,1,240.03053121,-38.3967029,3.367
6738,1381,1,211.59290604,-26.68236072,3.368
754,2356,1,101.32235246,12.89558957,3.377
8595,3311,1,137.74204034,-58.96689247,3.381
662,1546,1,60.17006453,12.49034684,3.388
469,6227,1,291.37457816,3.11478558,3.39
8553,2883,1,119.19464243,-52.98235073,3.404
2275,1753,1,9.83199596,30.86101828,3.405
1265,1172,1,67.16558706,15.87088179,3.407
7797,2743,1,207.40411849,-42.47373038,3.415
7655,2687,1,112.30762743,-43.30143311,3.418
5678,956,1,269.75663133,-9.7736295,3.42
3875,1620,1,231.23239349,58.96606176,3.421
8869,2461,1,63.60618243,-62.47386074,3.425
6881,1777,1,286.73502439,-27.67042392,3.427
9112,1605,1,311.23955932,-66.20321518,3.431
8359,3650,1,276.74339772,-45.96846635,3.436
9159,1634,1,56.80975228,-74.23896428,3.436
6557,4522,1,117.32356494,-24.85978712,3.452
1763,3028,1,28.27045048,29.57882527,3.457
6752,1455,1,226.01756423,-25.28196292,3.459
8032,1228,1,16.5211354,-46.71845453,3.459
8453,1499,1,342.13873951,-51.31687677,3.479
990,2133,1,258.66188627,14.39036763,3.48
224,1333,1,131.69386615,6.41877721,3.488
2085,3062,1,266.61464422,27.72067433,3.49
8277,3277,1,214.85091498,-46.05809697,3.5
8306,3362,1,228.07123478,-52.09924858,3.5
8602,2024,1,149.21558969,-54.56779331,3.5
